이름,부서,도시,직급,나이,근속연수,급여,평가점수
김민준,인사,서울,과장,31,16,6100.0,85.0
이서연,마케팅,서울,과장,27,13,7590.0,71.8
박도윤,개발,인천,사원,25,18,5450.0,64.2
최지우,인사,부산,사원,53,15,6640.0,
정하준,인사,부산,과장,29,13,3800.0,68.7
강서윤,마케팅,서울,대리,45,9,5730.0,76.7
조예준,개발,인천,부장,33,15,5770.0,95.3
윤지호,개발,서울,사원,27,13,4570.0,73.0
장하윤,인사,서울,부장,45,1,5690.0,64.9
임시우,영업,대구,대리,52,7,6840.0,74.3
한지민,인사,대구,대리,54,9,,96.3
오준서,인사,대구,대리,41,1,3500.0,70.9
서다은,인사,부산,사원,49,12,7490.0,85.9
신유진,인사,인천,대리,35,8,3870.0,60.0
권민서,마케팅,인천,사원,25,11,7480.0,74.1
황지안,개발,인천,대리,33,19,3200.0,72.2
안수아,마케팅,인천,부장,53,17,4480.0,66.6
송지훈,마케팅,대구,부장,27,8,3860.0,81.4
전예린,마케팅,부산,과장,37,3,5790.0,79.4
홍진호,인사,부산,부장,54,3,3560.0,87.7
문채원,영업,대구,과장,39,1,7190.0,70.8
양시온,개발,부산,부장,38,5,4750.0,69.8
백주원,영업,대구,사원,31,10,4670.0,66.7
남하은,마케팅,인천,부장,37,7,6240.0,68.8
노건우,마케팅,대구,과장,46,9,7630.0,82.3
하지원,영업,인천,과장,51,7,4050.0,76.2
곽서진,영업,인천,대리,48,9,4720.0,62.6
성민재,영업,서울,사원,53,8,6310.0,70.2
차예은,마케팅,대구,부장,31,12,6150.0,69.9
주도현,마케팅,서울,대리,44,2,5620.0,87.9
